Timestamp_Wall_Clock,Lane_Index,Navigation_Mode,Time_Taken_Seconds,Distance_Traveled_Meters
2026-06-06 17:20:06,0,PURE_APF_FAILED_TIMEOUT,90.016,1.411
2026-06-06 17:20:07,0,PURE_APF_FAILED_TIMEOUT,90.016,1.41
2026-06-06 17:22:07,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.847
2026-06-06 17:22:08,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.852
2026-06-06 17:22:08,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.851
2026-06-06 17:22:09,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.848
2026-06-06 17:22:10,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.849
2026-06-06 17:22:10,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.852
2026-06-06 17:22:11,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.852
2026-06-06 17:22:11,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.852
2026-06-06 17:23:16,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.847
2026-06-06 17:23:17,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.852
2026-06-06 17:23:17,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.851
2026-06-06 17:23:18,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.848
2026-06-06 17:23:18,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.849
2026-06-06 17:23:19,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.852
2026-06-06 17:23:19,0,PURE_APF_LOCAL_MINIMA_STALL,30.016,0.852
2026-06-06 17:25:43,0,PURE_APF_FAILED_TIMEOUT,90.016,2.499
2026-06-06 17:26:09,0,PURE_APF_FAILED_TIMEOUT,90.016,2.499
2026-06-06 17:26:14,0,PURE_APF_FAILED_TIMEOUT,90.016,2.505
2026-06-06 17:26:20,0,PURE_APF_FAILED_TIMEOUT,90.016,2.504
2026-06-06 17:29:04,0,PURE_APF_FAILED_TIMEOUT,90.016,3.352
2026-06-06 17:29:12,0,PURE_APF_FAILED_TIMEOUT,90.016,3.376
2026-06-06 17:29:19,0,PURE_APF_FAILED_TIMEOUT,90.016,3.375
2026-06-06 17:33:06,0,PURE_APF_FAILED_TIMEOUT,90.016,3.352
2026-06-06 17:39:01,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.923
2026-06-06 17:39:03,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:39:04,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:39:05,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:45:41,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.923
2026-06-06 17:45:42,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:45:44,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:45:45,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:45:46,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:45:47,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:45:48,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:45:49,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:45:51,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
2026-06-06 17:45:52,0,PURE_APF_LOCAL_MINIMA_STALL,20.032,0.949
